os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw,memory_mb,cpu_time,execution_time,task_with_size
combined_C_data.csv,C,fannkuchredux,10,2512,0,0.2168312072753906,0.1842379999999999,0.01906,10652,328,0,0,0,14,2,10.40234375,0.2032979999999999,0.2168312072753906,fannkuchredux-10
combined_C_data.csv,C,fannkuchredux,12,2515,0,29.390113592147827,29.368338,0.014464,10692,326,0,0,0,16,19,10.44140625,29.382802,29.390113592147827,fannkuchredux-12
combined_C_data.csv,C,fannkuchredux,12,2518,0,29.526053190231323,29.479605,0.025908,10692,329,0,0,0,16,409,10.44140625,29.505513,29.526053190231323,fannkuchredux-12
combined_C_data.csv,C,fannkuchredux,12,2521,0,29.15972113609314,28.302252,0.868892,10672,325,0,0,0,14,21,10.421875,29.171143999999998,29.15972113609314,fannkuchredux-12
combined_C_data.csv,C,fannkuchredux,12,2525,0,29.65945076942444,29.613604,0.040033,10568,328,0,0,0,16,418,10.3203125,29.653637,29.65945076942444,fannkuchredux-12
combined_C_data.csv,C,fannkuchredux,12,2529,0,29.712707996368408,29.703231,0.00535,10692,326,0,0,0,16,12,10.44140625,29.708581,29.712707996368408,fannkuchredux-12
combined_C_data.csv,C,fannkuchredux,12,2532,0,29.659366607666016,29.601296,0.050329,10688,328,0,0,0,16,54,10.4375,29.651625000000003,29.659366607666016,fannkuchredux-12
combined_C_data.csv,C,fannkuchredux,12,2535,0,29.84559440612793,29.813837,0.026487,10688,327,0,0,0,16,15,10.4375,29.840324,29.84559440612793,fannkuchredux-12
combined_C_data.csv,C,fannkuchredux,12,2544,0,29.67292046546936,29.622824,0.0373229999999999,10568,326,0,0,0,16,77,10.3203125,29.660147000000002,29.67292046546936,fannkuchredux-12
combined_C_data.csv,C,fannkuchredux,12,2547,0,29.912350177764893,29.864763,0.0411749999999999,10440,330,0,0,0,14,23,10.1953125,29.905938,29.912350177764893,fannkuchredux-12
combined_C_data.csv,C,fannkuchredux,12,2585,0,29.59826707839965,29.561667,0.030302,10692,326,0,0,0,16,12,10.44140625,29.591969,29.59826707839965,fannkuchredux-12
combined_C_data.csv,C,fasta,250000,2596,0,0.067084789276123,0.050455,0.01245,10692,323,3,0,0,20,0,10.44140625,0.062905,0.067084789276123,fasta-250000
combined_C_data.csv,C,fasta,250000,2599,0,0.0663673877716064,0.047368,0.015175,10568,327,0,0,0,15,0,10.3203125,0.062543,0.0663673877716064,fasta-250000
combined_C_data.csv,C,fasta,250000,2602,0,0.0667083263397216,0.055774,0.006109,10564,326,0,0,0,16,1,10.31640625,0.061882999999999994,0.0667083263397216,fasta-250000
combined_C_data.csv,C,fasta,250000,2605,0,0.0661947727203369,0.052771,0.0098579999999999,10440,325,0,0,0,16,0,10.1953125,0.0626289999999999,0.0661947727203369,fasta-250000
combined_C_data.csv,C,fasta,250000,2608,0,0.0715222358703613,0.048284,0.014721,10692,323,0,0,0,16,6,10.44140625,0.063005,0.0715222358703613,fasta-250000
combined_C_data.csv,C,fasta,250000,2611,0,0.067380666732788,0.0633089999999999,0.0,10692,326,0,0,0,16,0,10.44140625,0.0633089999999999,0.067380666732788,fasta-250000
combined_C_data.csv,C,fasta,250000,2614,0,0.0632531642913818,0.044211,0.016278,10564,327,0,0,0,15,0,10.31640625,0.060489,0.0632531642913818,fasta-250000
combined_C_data.csv,C,fasta,250000,2617,0,0.065286636352539,0.056497,0.005277,10440,324,0,0,0,16,5,10.1953125,0.061773999999999996,0.065286636352539,fasta-250000
combined_C_data.csv,C,fasta,250000,2620,0,0.0765855312347412,0.045648,0.021921,10692,326,0,0,0,16,4,10.44140625,0.067569,0.0765855312347412,fasta-250000
combined_C_data.csv,C,fasta,250000,2623,0,0.063300609588623,0.045285,0.0143089999999999,10692,326,0,0,0,15,0,10.44140625,0.0595939999999999,0.063300609588623,fasta-250000
combined_C_data.csv,C,fasta,25000000,2626,0,5.309662342071533,4.271956,1.026371,10440,324,0,0,0,16,133,10.1953125,5.2983270000000005,5.309662342071533,fasta-25000000
combined_C_data.csv,C,fasta,25000000,2629,0,5.382569789886475,4.353668,1.024588,10692,325,0,0,0,14,11,10.44140625,5.378256,5.382569789886475,fasta-25000000
combined_C_data.csv,C,fasta,25000000,2632,0,5.365132570266724,4.315928,1.04383,10692,326,0,0,0,15,5,10.44140625,5.359758,5.365132570266724,fasta-25000000
combined_C_data.csv,C,fasta,25000000,2635,0,5.386511325836182,4.339531,1.040263,10692,326,0,0,0,16,5,10.44140625,5.379794,5.386511325836182,fasta-25000000
combined_C_data.csv,C,fasta,25000000,2638,0,5.383926153182983,4.300836,1.077641,10688,325,0,0,0,16,7,10.4375,5.378477,5.383926153182983,fasta-25000000
combined_C_data.csv,C,fasta,25000000,2641,0,5.367197751998901,4.436199,0.926999,10568,323,0,0,0,16,6,10.3203125,5.363198000000001,5.367197751998901,fasta-25000000
combined_C_data.csv,C,fasta,25000000,2644,0,5.426077604293823,4.401666,1.018227,10432,323,0,0,0,16,9,10.1875,5.419893,5.426077604293823,fasta-25000000
