os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw,memory_mb,cpu_time,execution_time,task_with_size
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,10,2249,0,6.804879188537598,6.770399,0.0198029999999999,10744,1202,0,0,0,47,11,10.4921875,6.790202,6.804879188537598,fannkuchredux-10
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,10,2252,0,6.730632781982422,6.697287,0.0188459999999999,10616,1196,0,0,0,47,9,10.3671875,6.716133,6.730632781982422,fannkuchredux-10
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,10,2255,0,7.364989757537842,7.332737,0.014868,10688,1200,0,0,0,48,11,10.4375,7.347605,7.364989757537842,fannkuchredux-10
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,10,2258,0,8.257373809814453,8.217071,0.0221479999999999,10616,1199,0,0,0,48,8,10.3671875,8.239219,8.257373809814453,fannkuchredux-10
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,12,2261,0,1156.8897597789764,1156.641037,0.161787,10616,1197,0,0,0,47,411,10.3671875,1156.802824,1156.8897597789764,fannkuchredux-12
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,12,2412,0,1149.0502927303314,1148.980506,0.103651,10428,1195,0,0,0,47,312,10.18359375,1149.084157,1149.0502927303314,fannkuchredux-12
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,12,2608,0,1144.9777524471283,1144.849931,0.119332,10616,1198,0,0,0,48,306,10.3671875,1144.969263,1144.9777524471283,fannkuchredux-12
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,12,2764,0,1161.400720357895,1161.22972,0.1464369999999999,10740,1200,0,0,0,48,325,10.48828125,1161.3761570000001,1161.400720357895,fannkuchredux-12
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,12,2837,0,1156.9418828487396,1156.761707,0.1458269999999999,10744,1198,0,0,0,48,323,10.4921875,1156.907534,1156.9418828487396,fannkuchredux-12
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,12,2904,0,1154.9089181423187,1154.834611,0.15889,10744,1197,0,0,0,47,311,10.4921875,1154.993501,1154.9089181423187,fannkuchredux-12
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,12,3050,0,1155.3422009944916,1154.808076,0.520934,10616,1199,0,0,0,47,324,10.3671875,1155.32901,1155.3422009944916,fannkuchredux-12
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,12,3087,0,1158.5512101650238,1158.422225,0.1181189999999999,10744,1202,0,0,0,48,305,10.4921875,1158.540344,1158.5512101650238,fannkuchredux-12
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,12,3231,0,1168.2539598941803,1168.004331,0.248357,10616,1198,0,0,0,47,315,10.3671875,1168.252688,1168.2539598941803,fannkuchredux-12
Manjaro GNOME 25.0.10,Python 3,fannkuchredux,12,3264,0,1197.1692626476288,1197.032916,0.169621,10744,1197,0,0,0,47,318,10.4921875,1197.202537,1197.1692626476288,fannkuchredux-12
Manjaro GNOME 25.0.10,Python 3,fasta,250000,3292,0,1.234130859375,1.206016,0.012471,10872,1204,0,0,0,46,0,10.6171875,1.2184869999999999,1.234130859375,fasta-250000
Manjaro GNOME 25.0.10,Python 3,fasta,250000,3295,0,0.947091817855835,0.928237,0.004516,10868,1201,0,0,0,47,1,10.61328125,0.9327529999999999,0.947091817855835,fasta-250000
Manjaro GNOME 25.0.10,Python 3,fasta,250000,3298,0,0.927605390548706,0.8932019999999999,0.01974,10744,1200,0,0,0,48,16,10.4921875,0.9129419999999999,0.927605390548706,fasta-250000
Manjaro GNOME 25.0.10,Python 3,fasta,250000,3301,0,0.9000201225280762,0.8744379999999999,0.012032,10872,1205,0,0,0,46,2,10.6171875,0.88647,0.9000201225280762,fasta-250000
Manjaro GNOME 25.0.10,Python 3,fasta,250000,3304,0,0.9326827526092528,0.902589,0.0149229999999999,10872,1206,0,0,0,48,2,10.6171875,0.9175119999999999,0.9326827526092528,fasta-250000
Manjaro GNOME 25.0.10,Python 3,fasta,250000,3307,0,0.9195263385772704,0.8794259999999999,0.027496,10872,1206,0,0,0,46,1,10.6171875,0.9069219999999999,0.9195263385772704,fasta-250000
Manjaro GNOME 25.0.10,Python 3,fasta,250000,3310,0,0.9043679237365724,0.807099,0.0828619999999999,10872,1203,0,0,0,47,19,10.6171875,0.8899609999999999,0.9043679237365724,fasta-250000
Manjaro GNOME 25.0.10,Python 3,fasta,250000,3313,0,0.9394240379333496,0.909842,0.0126889999999999,10684,1206,0,0,0,47,2,10.43359375,0.922531,0.9394240379333496,fasta-250000
Manjaro GNOME 25.0.10,Python 3,fasta,250000,3316,0,0.9216222763061525,0.90476,0.004055,10872,1203,0,0,0,48,1,10.6171875,0.908815,0.9216222763061525,fasta-250000
Manjaro GNOME 25.0.10,Python 3,fasta,250000,3319,0,0.9215569496154784,0.8868109999999999,0.01975,10872,1205,0,0,0,48,14,10.6171875,0.906561,0.9215569496154784,fasta-250000
Manjaro GNOME 25.0.10,Python 3,fasta,25000000,3322,0,83.73463582992554,80.861374,2.9326,10872,1207,0,0,0,45,36,10.6171875,83.79397399999999,83.73463582992554,fasta-25000000
Manjaro GNOME 25.0.10,Python 3,fasta,25000000,3326,0,83.04073667526245,82.913543,0.1881509999999999,10744,1204,0,0,0,47,170,10.4921875,83.10169400000001,83.04073667526245,fasta-25000000
Manjaro GNOME 25.0.10,Python 3,fasta,25000000,3330,0,89.46794319152832,89.48176,0.060902,10872,1207,0,0,0,46,133,10.6171875,89.54266199999999,89.46794319152832,fasta-25000000
Manjaro GNOME 25.0.10,Python 3,fasta,25000000,3337,0,88.62555289268494,88.676618,0.0200699999999999,10744,1206,0,0,0,48,27,10.4921875,88.69668800000001,88.62555289268494,fasta-25000000
Manjaro GNOME 25.0.10,Python 3,fasta,25000000,3340,0,87.68571925163269,87.674495,0.074927,10744,1205,0,0,0,48,161,10.4921875,87.749422,87.68571925163269,fasta-25000000
Manjaro GNOME 25.0.10,Python 3,fasta,25000000,3383,0,88.14995074272156,88.160702,0.063499,10616,1205,0,0,0,46,29,10.3671875,88.224201,88.14995074272156,fasta-25000000
Manjaro GNOME 25.0.10,Python 3,fasta,25000000,3388,0,84.93067908287048,84.909723,0.078419,10744,1207,0,0,0,47,248,10.4921875,84.988142,84.93067908287048,fasta-25000000
Manjaro GNOME 25.0.10,Python 3,fasta,25000000,3394,0,85.21544528007507,85.221412,0.061667,10872,1205,0,0,0,46,29,10.6171875,85.283079,85.21544528007507,fasta-25000000
Manjaro GNOME 25.0.10,Python 3,fasta,25000000,3399,0,85.84728384017944,85.878486,0.0397179999999999,10872,1203,0,0,0,46,28,10.6171875,85.91820399999999,85.84728384017944,fasta-25000000
Manjaro GNOME 25.0.10,Python 3,fasta,25000000,3404,0,87.03139758110046,87.066783,0.036767,10872,1207,0,0,0,48,27,10.6171875,87.10355,87.03139758110046,fasta-25000000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,1000,3408,0,3.837267398834229,3.818279,0.0078109999999999,10744,1194,0,0,0,48,47,10.4921875,3.8260899999999998,3.837267398834229,mandelbrot-1000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,1000,3414,0,3.8037846088409424,3.777454,0.0159629999999999,10872,1193,0,0,0,48,8,10.6171875,3.793417,3.8037846088409424,mandelbrot-1000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,1000,3417,0,3.809617757797241,3.792366,0.007274,10872,1191,0,0,0,48,2,10.6171875,3.7996399999999997,3.809617757797241,mandelbrot-1000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,1000,3420,0,4.055981397628784,4.029621,0.0142289999999999,10872,1189,0,0,0,48,50,10.6171875,4.04385,4.055981397628784,mandelbrot-1000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,1000,3423,0,3.642594575881958,3.61681,0.012764,10872,1190,0,0,0,48,3,10.6171875,3.6295740000000003,3.642594575881958,mandelbrot-1000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,1000,3426,0,3.7655608654022217,3.71281,0.042955,10872,1192,0,0,0,47,9,10.6171875,3.7557650000000002,3.7655608654022217,mandelbrot-1000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,1000,3429,0,3.735026836395264,3.717899,0.006502,10872,1193,0,0,0,47,6,10.6171875,3.724401,3.735026836395264,mandelbrot-1000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,1000,3432,0,3.715020418167114,3.43923,0.2640969999999999,10872,1193,0,0,0,48,2,10.6171875,3.703327,3.715020418167114,mandelbrot-1000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,1000,3435,0,3.7362961769104,3.700662,0.025677,10872,1190,0,0,0,45,5,10.6171875,3.726339,3.7362961769104,mandelbrot-1000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,1000,3438,0,3.7226853370666495,3.708979,0.005482,10872,1191,0,0,0,45,9,10.6171875,3.714461,3.7226853370666495,mandelbrot-1000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,16000,3441,0,979.3899638652802,978.284565,0.2050479999999999,10872,1191,0,0,0,46,1885,10.6171875,978.4896130000001,979.3899638652802,mandelbrot-16000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,16000,5940,0,984.451022863388,984.31236,0.1278409999999999,10744,1189,0,0,0,47,775,10.4921875,984.440201,984.451022863388,mandelbrot-16000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,16000,5962,0,983.0684037208556,982.995388,0.066776,10872,1193,0,0,0,45,251,10.6171875,983.062164,983.0684037208556,mandelbrot-16000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,16000,5985,0,990.1340630054474,990.034317,0.095512,10684,1192,0,0,0,46,287,10.43359375,990.129829,990.1340630054474,mandelbrot-16000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,16000,6005,0,941.8015916347504,939.629048,2.152409,10872,1194,0,0,0,46,274,10.6171875,941.781457,941.8015916347504,mandelbrot-16000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,16000,6082,0,986.5413732528688,986.391391,0.1460179999999999,10728,1191,0,0,0,48,344,10.4765625,986.537409,986.5413732528688,mandelbrot-16000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,16000,6123,0,954.9312810897828,952.00967,2.917944,10744,1192,0,0,0,46,484,10.4921875,954.9276140000001,954.9312810897828,mandelbrot-16000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,16000,6185,0,994.3279440402983,994.21793,0.101981,10872,1192,0,0,0,46,775,10.6171875,994.319911,994.3279440402983,mandelbrot-16000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,16000,6206,0,955.3706996440887,953.780276,1.601656,10868,1192,0,0,0,46,481,10.61328125,955.381932,955.3706996440887,mandelbrot-16000
Manjaro GNOME 25.0.10,Python 3,mandelbrot,16000,6245,0,982.6542620658876,982.593037,0.065054,10556,1193,0,0,0,48,256,10.30859375,982.658091,982.6542620658876,mandelbrot-16000
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1603,0,0.2203807830810547,0.05389,0.0700969999999999,16056,8086,0,704,0,384,5,15.6796875,0.1239869999999999,0.2203807830810547,binarytrees-7
